orden,polyid,CRIME,HOVAL,INC,CP,X,Y,z,wz,Ii,p_rangos,cuadrante,lisa,lisa_bonferroni,lisa_fdr,gistar_z,gistar_p,gistar
31,28,56.919785,22.85,7.856,1,41.310001,30.9,1.3023452766,0.7348397407,0.9769528792,0.00488,High-High,2,1,2,2.8058612876,0.00424,7
32,25,61.299175,17.9,8.461,1,39.360001,32.880001,1.5640812254,1.0531713381,1.681563132,0.00048,High-High,2,2,2,3.4539648612,0.00044,7
33,29,60.750446,32.5,8.681,1,39.720001,30.639999,1.531286223,1.1035872961,1.7251144395,0.00108,High-High,2,1,2,3.3283707448,8e-04,7
34,30,68.892044,22.5,13.906,1,38.290001,30.35,2.0178719982,0.8035160474,1.6551715433,0.01756,High-High,2,1,1,2.630255905,0.0178,6
35,24,38.297871,53.200001,14.236,1,36.599998,32.09,0.1893993342,1.1819641728,0.2285270446,8e-05,High-High,2,2,2,3.2710944318,2e-04,7
36,16,54.838711,18.799999,7.625,1,37.599998,34.080002,1.1779690785,1.0301550014,1.2387717948,0.00028,High-High,2,2,2,3.4750513562,0.00032,7
37,12,56.705669,19.9,10.048,1,37.130001,36.119999,1.2895485504,0.491453066,0.6469557678,0.06804,High-High,1,1,1,1.8280856961,0.06944,5
38,11,62.275448,19.700001,7.467,1,37.849998,36.299999,1.6224285615,0.8802618956,1.4579154169,0.01316,High-High,2,1,1,2.6251508473,0.01276,6
39,13,46.716129,41.700001,9.549,1,35.950001,36.400002,0.692519802,0.1772138287,0.1252808374,0.34668,High-High,1,1,1,0.6613648377,0.34264,4
40,14,57.066132,42.900002,9.963,1,35.720001,35.599998,1.311091762,0.4596982987,0.6152630411,0.10208,High-High,1,1,1,1.661277238,0.09872,5
41,19,54.521965,30.6,11.618,1,35.759998,34.66,1.1590386305,0.6761461173,0.8000061254,0.10816,High-High,1,1,1,1.6630635489,0.11252,4
42,18,43.962486,60,13.185,1,36.150002,33.919998,0.5279472557,1.0254094711,0.5526404937,0.00664,High-High,2,1,2,2.4644521056,0.00564,7
43,21,40.074074,19.975,10.655,1,34.080002,30.42,0.2955547982,0.5135335371,0.1549393281,0.18888,High-High,1,1,1,0.9580126064,0.18484,4
44,34,23.974028,28.450001,14.948,0,30.32,28.26,-0.666670721,-0.7764504479,0.5284208795,0.0518,Low-Low,1,1,1,-1.7803803143,0.05204,3
45,31,17.677214,31.799999,16.940001,0,27.940001,29.85,-1.0430022619,-0.9555907182,1.0174475155,0.0802,Low-Low,1,1,1,-1.7603377163,0.08064,3
46,36,14.305556,36.299999,18.739,0,27.27,28.209999,-1.2445107154,-0.9785936038,1.2432425222,0.0062,Low-Low,3,1,3,-2.6747191517,0.00768,1
47,39,19.100863,39.599998,18.476999,0,24.25,26.690001,-0.957917325,-1.1780224069,1.1519574077,0.03628,Low-Low,3,1,1,-1.9747223394,0.03728,2
48,46,16.530533,76.099998,18.323999,0,25.469999,25.709999,-1.1115340985,-1.1012140202,1.2495377026,0.04884,Low-Low,3,1,1,-1.9747223394,0.04688,2
49,42,16.49189,44.333,25.872999,0,29.02,26.58,-1.1138436124,-0.9555907182,1.086553172,0.08316,Low-Low,1,1,1,-1.8025506299,0.08092,3
