celda,x,y,val,G30,G30_estrella
83,60,150,61,-0.5273936234,-0.5949537661
84,90,150,56,-0.8971684697,-1.03489647
85,120,150,41,-1.8144255776,-2.1787475004
86,150,150,40,-2.0364646048,-2.3987188523
87,180,150,43,-1.8865003662,-2.2007446356
88,210,150,44,-1.5173664627,-1.8487904724
89,240,150,46,-1.3932512995,-1.694810526
90,270,150,48,-1.4165064675,-1.6728133908
91,300,150,50,-1.2926252297,-1.5188334444
92,330,150,52,-0.9726956434,-1.1888764164
93,360,150,68,-0.5246309697,-0.4409738197
94,390,150,69,-0.4507621267,-0.3529852789
95,420,150,60,-0.6503195066,-0.7269365773
96,450,150,61,-0.6181803986,-0.6734451949
97,0,180,62,-0.5895850825,-0.6243557957
98,30,180,62,0.0610091032,-0.0450253861
99,60,180,86,0.242132058,0.636885805
100,90,180,85,0.0699518483,0.4609087235
101,120,180,55,0.4995788367,0.1969431011
102,150,180,59,-0.3321961988,-0.4629709549
103,180,180,64,-0.0607167773,-0.1110167917
104,210,180,72,-0.008647275,0.1089545603
105,240,180,75,-0.1055171332,0.0869574251
106,270,180,70,0.1865736751,0.2409373715
107,300,180,70,0.2845680873,0.3289259123
108,330,180,62,-0.2329875201,-0.3089910085
109,360,180,66,-0.5743903464,-0.5289623605
110,390,180,61,-0.6498980631,-0.7049394421
111,420,180,55,-0.9221588956,-1.0788907404
112,450,180,57,-0.845629577,-0.9679815899
113,0,210,65,-0.3909189779,-0.3789087998
114,30,210,62,-0.3064866759,-0.3749824141
115,60,210,68,0.2102943037,0.2189402363
116,90,210,72,1.2163833542,1.2088113202
117,120,210,102,1.3335577913,1.956713917
118,150,210,94,2.0156592163,2.3966566209
119,180,210,90,1.6683540514,2.0007081873
120,210,210,83,1.2219791626,1.4507798074
121,240,210,74,0.9232548887,0.9888399682
122,270,210,81,1.4905889931,1.6487540242
123,300,210,96,1.5009774374,1.9787110522
124,330,210,69,0.5781514234,0.5708943994
125,360,210,52,-0.5558260819,-0.8149251181
126,390,210,50,-1.0473361736,-1.2988620924
127,420,210,51,-0.9977431146,-1.2328706868
128,450,210,54,-0.7338829179,-0.9434368903
129,0,240,62,-0.3919495196,-0.4525428986
130,30,240,59,-0.7977705648,-0.8809165237
131,60,240,55,-0.5544681028,-0.7489337125
132,90,240,61,0.3791392308,0.2189402363
133,120,240,99,1.8234836961,2.3306652153
134,150,240,97,2.7073635629,3.0785678121
135,180,240,93,2.4571563576,2.7706079193
136,210,240,80,1.5390463482,1.6707511594
137,240,240,65,0.9440696462,0.8128628866
138,270,240,87,1.9116213536,2.1546881337
139,300,240,107,2.6956211567,3.2765420289
140,330,240,80,1.5390463482,1.6707511594
141,360,240,59,0.0353625112,-0.1330139269
142,390,240,60,0.0112422255,-0.1330139269
143,420,240,67,0.2589028939,0.2409373715
144,450,240,66,0.174035193,0.1365298914
145,0,270,62,-0.5613514307,-0.5998110961
146,30,270,55,-0.799595298,-0.9689050644
147,60,270,56,-1.044229511,-1.1668792812
148,90,270,56,-0.2844141313,-0.4849680901
149,120,270,80,1.3674215758,1.516771213
150,150,270,90,2.5033979047,2.7486107841
151,180,270,99,2.1435201453,2.6166279729
152,210,270,88,1.1758870849,1.516771213
153,240,270,64,0.8947078277,0.746871481
154,270,270,91,2.1358604988,2.4406508913
155,300,270,112,3.2472614987,3.8704646792
156,330,270,94,2.3106619522,2.6606222433
157,360,270,76,1.3898087929,1.4507798074
158,390,270,91,1.6691136621,2.0227053225
159,420,270,100,2.1445716656,2.6386251081
160,450,270,85,1.3964790687,1.6583012657
161,0,300,63,-0.6174628731,-0.6243557957
162,30,300,57,-0.7986678239,-0.924910794
163,60,300,58,-0.8717327387,-0.9689050644
164,90,300,58,-0.2835942357,-0.4409738197
165,120,300,77,1.2677735185,1.3627912666
166,150,300,92,2.0138885278,2.3526623505
167,180,300,82,1.9080967018,2.0447024577
168,210,300,71,1.0689465212,1.0548313738
169,240,300,59,0.7214721032,0.4829058587
170,270,300,90,1.6929141648,2.0227053225
171,300,300,105,2.8901767059,3.4085248401
172,330,300,92,2.4807445047,2.7706079193
173,360,300,79,2.1758628321,2.2206795393
174,390,300,98,2.8562025098,3.2325477585
175,420,300,110,2.9471579749,3.5625047864
176,450,300,83,1.9889521315,2.1246505579
177,0,330,59,-0.6753981569,-0.7716239932
178,30,330,58,-0.8962385097,-0.9909021996
179,60,330,60,-0.8218355112,-0.8809165237
180,90,330,64,0.0127774231,-0.0450253861
181,120,330,88,1.3722854518,1.6927482946
182,150,330,99,2.4143202177,2.8585964601
183,180,330,82,2.055243272,2.1766852689
184,210,330,81,1.245378882,1.4287826722
185,240,330,71,1.2159434813,1.186814185
186,270,330,80,1.9068137176,2.0007081873
187,300,330,89,2.8953524006,3.0785678121
188,330,330,89,2.8953524006,3.0785678121
189,360,330,89,2.7725782117,2.9685821361
190,390,330,102,3.1570531189,3.5845019216
191,420,330,104,2.7901183039,3.2985391641
192,450,330,75,1.5608489231,1.5601224674
193,0,360,55,-0.9029592833,-1.0661603882
194,30,360,54,-1.1187718515,-1.2768649572
195,60,360,53,-0.8741086328,-1.0788907404
196,90,360,61,-0.1843811921,-0.2869938733
197,120,360,82,1.859047845,2.0007081873
198,150,360,102,2.4177982563,2.9245878657
199,180,360,88,2.3788270821,2.5946308377
200,210,360,93,2.3834243181,2.7046165137
201,240,360,96,2.632425631,2.9905792713
202,270,360,94,3.0727523533,3.3425334345
203,300,360,110,3.4908997528,4.0464417608
204,330,360,114,3.6965603726,4.3104073832
205,360,360,109,3.4890897763,4.0244446256
206,390,360,103,3.1092106546,3.5625047864
207,420,360,92,2.3087449342,2.6166279729
208,450,360,68,0.9934027866,0.8974155786
209,0,390,55,-0.7899647466,-0.9679815899
210,30,390,55,-0.9466716151,-1.1008878756
211,60,390,56,-0.8481481227,-0.9909021996
212,90,390,60,0.0112422255,-0.1330139269
213,120,390,91,1.3743261863,1.7587397002
214,150,390,95,2.4837841018,2.8365993249
215,180,390,86,2.6961731865,2.8365993249
216,210,390,98,3.2991966816,3.628496192
217,240,390,115,3.5500210327,4.2004217072
218,270,390,105,3.7535440822,4.178424572
219,300,390,110,3.5897618942,4.1344303016
220,330,390,107,3.485575139,3.9804503552
221,360,390,101,2.9092892687,3.3425334345
222,390,390,89,2.6252491851,2.8365993249
223,420,390,85,1.9592290705,2.1546881337
224,450,390,68,0.9087094698,0.8237814798
225,0,420,62,-0.7589869936,-0.7716239932
226,30,420,63,-0.7225698479,-0.7269365773
227,60,420,64,-0.8446549147,-0.8149251181
228,90,420,59,0.0108585972,-0.1550110621
229,120,420,85,0.9041781542,1.2088113202
230,150,420,88,2.0596797359,2.3086680801
231,180,420,95,2.3608340404,2.7266136489
232,210,420,106,2.8175985436,3.3645305697
233,240,420,110,3.1695977932,3.7604790032
234,270,420,99,2.7589748553,3.1665563529
235,300,420,89,2.3060362941,2.5506365673
236,330,420,82,1.7119012748,1.8687253762
237,360,420,79,1.5384762471,1.6487540242
238,390,420,84,1.7131963913,1.9127196466
239,420,420,97,1.3541642055,1.8687253762
240,450,420,79,0.8000049863,0.9955943769
241,0,450,55,-0.5286311157,-0.7588525891
242,30,450,56,-0.7895503954,-0.9434368903
243,60,450,54,-0.6208755845,-0.845258092
244,90,450,58,-0.6193003295,-0.7470792936
245,120,450,65,0.5124791698,0.4065215869
246,150,450,75,0.9960462051,1.0692284757
247,180,450,82,1.3382948635,1.5355777678
248,210,450,77,1.7595031885,1.7810247637
249,240,450,74,1.7298299518,1.6828459653
250,270,450,74,1.1933069304,1.2164966732
251,300,450,69,0.6832048188,0.6519685827
252,330,450,61,0.3700445803,0.1856192906
253,360,450,62,0.3138917763,0.161074591
254,390,450,71,0.5427454461,0.578334484
255,420,450,73,0.8822993229,0.9219602782
256,450,450,63,0.6471506862,0.4291472708
